goal,task,fire_team,state,radio_silence,node,ignored_node,process_type,resource_qty,duration,time_since_start,goal_duration,type_a_count,type_b_count,type_c_count,info_experiment_code,info_run_number,flow_control_update_time
Goal number a4e2e8cd,T #4,fire_team_a,manoeuvre,false,n1,n2,type_c,3,15287,34969,70749,2,1,3,Radio90s200,1,n_a
Goal number a4e2e8cd,T #5,fire_team_a,manoeuvre,false,n3,n1,type_c,1,5277,40308,70749,2,1,3,Radio90s200,1,n_a
Goal number a4e2e8cd,T #6,fire_team_a,manoeuvre,false,n2,n6,type_a,3,30308,70678,70749,2,1,3,Radio90s200,1,n_a
Goal number a0a03a8d,T #1,fire_team_a,manoeuvre,false,n1,n4,type_a,1,10430,10488,68070,2,2,2,Radio90s200,1,n_a
Goal number a0a03a8d,T #2,fire_team_a,manoeuvre,false,n3,n3,type_b,2,7067,17633,68070,2,2,2,Radio90s200,1,n_a
Goal number a0a03a8d,T #3,fire_team_a,manoeuvre,false,n3,n6,type_c,3,15467,33142,68070,2,2,2,Radio90s200,1,n_a
Goal number a0a03a8d,T #4,fire_team_a,manoeuvre,false,n1,n4,type_b,3,10282,43476,68070,2,2,2,Radio90s200,1,n_a
Goal number a0a03a8d,T #5,fire_team_a,manoeuvre,false,n1,n6,type_a,1,14158,57681,68070,2,2,2,Radio90s200,1,n_a
Goal number a0a03a8d,T #6,fire_team_a,manoeuvre,true,n1,n1,type_c,2,10273,68010,68070,2,2,2,Radio90s200,1,n_a
Goal number e8ce562c,T #1,fire_team_a,manoeuvre,false,n1,n6,type_b,2,7546,7619,72119,1,3,2,Radio90s200,1,n_a
Goal number e8ce562c,T #2,fire_team_a,manoeuvre,false,n1,n4,type_b,3,10757,18434,72119,1,3,2,Radio90s200,1,n_a
Goal number e8ce562c,T #3,fire_team_a,manoeuvre,false,n3,n3,type_c,2,10502,28986,72119,1,3,2,Radio90s200,1,n_a
Goal number e8ce562c,T #4,fire_team_a,manoeuvre,false,n1,n4,type_a,3,30353,59699,72119,1,3,2,Radio90s200,1,n_a
Goal number e8ce562c,T #5,fire_team_a,manoeuvre,true,n1,n3,type_c,1,5283,65022,72119,1,3,2,Radio90s200,1,n_a
Goal number e8ce562c,T #6,fire_team_a,manoeuvre,true,n1,n5,type_b,2,6951,72061,72119,1,3,2,Radio90s200,1,n_a
Goal number 6dfbee27,T #1,fire_team_a,manoeuvre,false,n3,n1,type_b,3,10372,10420,74100,1,2,3,Radio90s200,1,n_a
Goal number 6dfbee27,T #2,fire_team_a,manoeuvre,false,n2,n6,type_a,2,20371,30864,74100,1,2,3,Radio90s200,1,n_a
Goal number 6dfbee27,T #3,fire_team_a,manoeuvre,false,n2,n2,type_c,2,10289,41206,74100,1,2,3,Radio90s200,1,n_a
Goal number 6dfbee27,T #4,fire_team_a,manoeuvre,false,n3,n1,type_c,2,10408,51672,74100,1,2,3,Radio90s200,1,n_a
Goal number 6dfbee27,T #5,fire_team_a,manoeuvre,true,n3,n2,type_b,2,6969,58704,74100,1,2,3,Radio90s200,1,n_a
Goal number 6dfbee27,T #6,fire_team_a,manoeuvre,true,n3,n6,type_c,3,15280,74040,74100,1,2,3,Radio90s200,1,n_a
Goal number 65648d2b,T #1,fire_team_a,manoeuvre,true,n2,n2,type_c,3,15385,15446,55486,1,3,2,Radio90s200,1,n_a
