goal,task,fire_team,state,radio_silence,node,ignored_node,process_type,resource_qty,duration,time_since_start,goal_duration,type_a_count,type_b_count,type_c_count,info_experiment_code,info_run_number,flow_control_update_time
Goal number d62b9e78,T #2,fire_team_a,defence,false,n2,n2,type_a,1,25258,57416,128279,2,1,3,SwitchMode1,1,n_a
Goal number d62b9e78,T #3,fire_team_a,defence,false,n3,n3,type_c,3,15254,72740,128279,2,1,3,SwitchMode1,1,n_a
Goal number d62b9e78,T #4,fire_team_b,manoeuvre,false,n6,n6,type_c,3,25214,98018,128279,2,1,3,SwitchMode1,1,n_a
Goal number d62b9e78,T #5,fire_team_b,manoeuvre,false,n6,n6,type_b,2,10274,108371,128279,2,1,3,SwitchMode1,1,n_a
Goal number d62b9e78,T #6,fire_team_b,manoeuvre,false,n4,n4,type_c,3,19676,128119,128279,2,1,3,SwitchMode1,1,n_a
Goal number 005e1088,T #1,fire_team_b,defence,false,n4,n4,type_c,1,5568,5637,159214,1,0,5,SwitchMode1,1,n_a
Goal number 005e1088,T #2,fire_team_b,defence,false,n6,n6,type_c,3,15268,20951,159214,1,0,5,SwitchMode1,1,n_a
Goal number 005e1088,T #3,fire_team_a,manoeuvre,false,n2,n2,type_c,3,16841,37859,159214,1,0,5,SwitchMode1,1,n_a
Goal number 005e1088,T #4,fire_team_b,manoeuvre,false,n5,n5,type_c,3,55514,93527,159214,1,0,5,SwitchMode1,1,n_a
Goal number 005e1088,T #5,fire_team_a,defence,false,n2,n2,type_c,2,20473,114065,159214,1,0,5,SwitchMode1,1,n_a
Goal number 005e1088,T #6,fire_team_b,manoeuvre,false,n5,n5,type_a,3,45025,159165,159214,1,0,5,SwitchMode1,1,n_a
Goal number 20323ac1,T #1,fire_team_b,defence,false,n4,n4,type_a,2,20287,20359,155155,3,0,3,SwitchMode1,1,n_a
Goal number 20323ac1,T #2,fire_team_a,defence,false,n2,n2,type_c,1,22565,42999,155155,3,0,3,SwitchMode1,1,n_a
Goal number 20323ac1,T #3,fire_team_b,manoeuvre,false,n6,n6,type_a,1,10409,53490,155155,3,0,3,SwitchMode1,1,n_a
Goal number 20323ac1,T #4,fire_team_b,manoeuvre,false,n4,n4,type_a,3,50118,103673,155155,3,0,3,SwitchMode1,1,n_a
Goal number 20323ac1,T #5,fire_team_a,defence,false,n3,n3,type_c,3,22114,125839,155155,3,0,3,SwitchMode1,1,n_a
Goal number 20323ac1,T #6,fire_team_a,defence,false,n2,n2,type_c,1,29212,155096,155155,3,0,3,SwitchMode1,1,n_a
Goal number 3bee68cb,T #1,fire_team_a,defence,false,n1,n1,type_b,2,9824,9909,93513,2,4,0,SwitchMode1,1,n_a
Goal number 3bee68cb,T #2,fire_team_a,defence,false,n3,n3,type_b,1,11678,21672,93513,2,4,0,SwitchMode1,1,n_a
Goal number 3bee68cb,T #3,fire_team_a,defence,false,n3,n3,type_b,2,18379,40124,93513,2,4,0,SwitchMode1,1,n_a
Goal number 3bee68cb,T #4,fire_team_b,manoeuvre,false,n6,n6,type_b,2,15356,55556,93513,2,4,0,SwitchMode1,1,n_a
Goal number 3bee68cb,T #5,fire_team_b,manoeuvre,false,n6,n6,type_a,1,10350,65967,93513,2,4,0,SwitchMode1,1,n_a
Goal number 3bee68cb,T #6,fire_team_b,manoeuvre,false,n4,n4,type_a,1,27452,93475,93513,2,4,0,SwitchMode1,1,n_a
Goal number 4c293caa,T #1,fire_team_b,manoeuvre,false,n5,n5,type_c,3,29015,29150,192897,3,0,3,SwitchMode1,1,n_a
Goal number 4c293caa,T #2,fire_team_a,defence,false,n3,n3,type_a,2,20255,49472,192897,3,0,3,SwitchMode1,1,n_a
Goal number 4c293caa,T #3,fire_team_a,defence,false,n2,n2,type_c,2,30105,79734,192897,3,0,3,SwitchMode1,1,n_a
Goal number 4c293caa,T #4,fire_team_a,defence,false,n1,n1,type_c,2,58933,138815,192897,3,0,3,SwitchMode1,1,n_a
Goal number 4c293caa,T #5,fire_team_a,defence,false,n2,n2,type_a,1,17255,156128,192897,3,0,3,SwitchMode1,1,n_a
Goal number 4c293caa,T #6,fire_team_b,manoeuvre,false,n6,n6,type_a,3,36561,192755,192897,3,0,3,SwitchMode1,1,n_a
Goal number c2246275,T #1,fire_team_a,defence,false,n2,n2,type_a,1,22481,22549,100119,2,2,2,SwitchMode1,1,n_a
Goal number c2246275,T #2,fire_team_a,defence,false,n1,n1,type_c,1,8267,30871,100119,2,2,2,SwitchMode1,1,n_a
Goal number c2246275,T #3,fire_team_b,manoeuvre,false,n5,n5,type_c,3,16481,47395,100119,2,2,2,SwitchMode1,1,n_a
Goal number c2246275,T #4,fire_team_b,manoeuvre,false,n4,n4,type_a,1,19773,67238,100119,2,2,2,SwitchMode1,1,n_a
Goal number c2246275,T #5,fire_team_b,manoeuvre,false,n4,n4,type_b,2,12512,79803,100119,2,2,2,SwitchMode1,1,n_a
Goal number c2246275,T #6,fire_team_a,defence,false,n1,n1,type_b,3,20211,100068,100119,2,2,2,SwitchMode1,1,n_a
Goal number f6b82573,T #1,fire_team_b,manoeuvre,false,n5,n5,type_a,1,26026,26104,172591,3,0,3,SwitchMode1,1,n_a
Goal number f6b82573,T #2,fire_team_a,defence,false,n3,n3,type_a,3,35334,61506,172591,3,0,3,SwitchMode1,1,n_a
Goal number f6b82573,T #3,fire_team_b,manoeuvre,false,n5,n5,type_c,3,15298,76881,172591,3,0,3,SwitchMode1,1,n_a
Goal number f6b82573,T #4,fire_team_b,manoeuvre,false,n5,n5,type_a,1,19793,96730,172591,3,0,3,SwitchMode1,1,n_a
Goal number f6b82573,T #5,fire_team_b,manoeuvre,false,n5,n5,type_c,1,21199,117985,172591,3,0,3,SwitchMode1,1,n_a
Goal number f6b82573,T #6,fire_team_a,defence,false,n2,n2,type_c,2,54411,172450,172591,3,0,3,SwitchMode1,1,n_a
Goal number e596e775,T #1,fire_team_a,defence,false,n1,n1,type_a,3,69238,69336,143155,2,2,2,SwitchMode1,1,n_a
Goal number e596e775,T #2,fire_team_a,defence,false,n3,n3,type_c,2,14504,83915,143155,2,2,2,SwitchMode1,1,n_a
