goal,task,fire_team,state,radio_silence,node,ignored_node,process_type,resource_qty,duration,time_since_start,goal_duration,type_a_count,type_b_count,type_c_count,info_experiment_code,info_run_number,flow_control_update_time
Goal number 65648d2b,T #1,fire_team_a,manoeuvre,false,n3,n2,type_c,3,15360,15459,55771,1,3,2,SwitchMode1,2,n_a
Goal number 65648d2b,T #2,fire_team_a,manoeuvre,false,n3,n1,type_a,1,10294,25810,55771,1,3,2,SwitchMode1,2,n_a
Goal number 65648d2b,T #3,fire_team_a,manoeuvre,false,n1,n4,type_b,2,7055,32917,55771,1,3,2,SwitchMode1,2,n_a
Goal number 65648d2b,T #4,fire_team_a,manoeuvre,false,n3,n1,type_b,1,3625,36616,55771,1,3,2,SwitchMode1,2,n_a
Goal number 65648d2b,T #5,fire_team_a,manoeuvre,false,n3,n2,type_b,1,3693,40384,55771,1,3,2,SwitchMode1,2,n_a
Goal number 65648d2b,T #6,fire_team_a,manoeuvre,false,n1,n3,type_c,3,15269,55712,55771,1,3,2,SwitchMode1,2,n_a
Goal number e2611981,T #1,fire_team_a,manoeuvre,false,n3,n3,type_c,3,15332,15409,89152,2,2,2,SwitchMode1,2,n_a
Goal number e2611981,T #2,fire_team_a,manoeuvre,false,n2,n2,type_b,3,10432,25901,89152,2,2,2,SwitchMode1,2,n_a
Goal number e2611981,T #3,fire_team_a,manoeuvre,false,n1,n1,type_a,3,30315,56274,89152,2,2,2,SwitchMode1,2,n_a
Goal number e2611981,T #4,fire_team_a,manoeuvre,false,n1,n3,type_b,2,6946,63283,89152,2,2,2,SwitchMode1,2,n_a
Goal number e2611981,T #5,fire_team_a,manoeuvre,false,n3,n2,type_a,1,10298,73710,89152,2,2,2,SwitchMode1,2,n_a
Goal number e2611981,T #6,fire_team_a,manoeuvre,false,n1,n6,type_c,3,15332,89109,89152,2,2,2,SwitchMode1,2,n_a
Goal number 29ed323e,T #1,fire_team_a,manoeuvre,false,n2,n6,type_a,2,20360,20424,97912,2,0,4,SwitchMode1,2,n_a
